id,ch0,ch1,ch2,ch3,accel0,accel1,accel2,timestamp
121, 14.92, -7.41, 7.59, -9.81, 0.000, 0.000, 0.000, 12:40:13.649
122, 6.46, 6.52, 7.33, 14.79, 0.000, 0.000, 0.000, 12:40:13.649
123, 6.07, 41.19, 12.35, 19.61, 0.000, 0.000, 0.000, 12:40:13.649
124, 13.96, 4.91, 9.90, -8.78, 0.000, 0.000, 0.000, 12:40:13.649
125, 8.28, -11.64, 6.41, 4.54, 0.000, 0.000, 0.000, 12:40:13.651
126, 0.51, 35.49, 8.13, 24.93, 0.000, 0.000, 0.000, 12:40:13.651
127, 9.57, 24.51, 7.71, -1.23, 0.000, 0.000, 0.000, 12:40:13.665
128, 15.82, -15.76, 6.00, -5.08, 0.000, 0.000, 0.000, 12:40:13.665
129, 2.57, 23.91, 10.46, 24.90, 0.000, 0.000, 0.000, 12:40:13.679
130, 5.54, 35.67, 6.65, 4.11, 0.000, 0.000, 0.000, 12:40:13.679
131, 13.78, -13.40, 3.54, -12.36, 0.000, 0.000, 0.000, 12:40:13.680
132, 3.83, 4.67, 8.10, 18.05, 0.000, 0.000, 0.000, 12:40:13.680
133, 5.15, 43.17, 10.49, 19.91, 0.000, 0.000, 0.000, 12:40:13.695
134, 12.29, 1.62, 4.86, -11.26, 0.000, 0.000, 0.000, 12:40:13.695
135, 12.33, -6.68, 7.58, 9.39, 0.000, 0.000, 0.000, 12:40:13.709
136, -0.62, 41.86, 11.55, 27.79, 0.000, 0.000, 0.000, 12:40:13.709
137, 12.29, 19.30, 8.38, -4.27, 0.000, 0.000, 0.000, 12:40:13.710
138, 12.07, -15.31, 7.05, -6.01, 0.000, 0.000, 0.000, 12:40:13.710
139, 0.90, 26.65, 13.14, 25.76, 0.000, 0.000, 0.000, 12:40:13.725
140, 3.97, 38.55, 4.99, -0.21, 0.000, 0.000, 0.000, 12:40:13.725
141, 16.88, -8.00, 5.74, -15.88, 0.000, 0.000, 0.000, 12:40:13.739
142, 4.61, 8.15, 10.81, 12.73, 0.000, 0.000, 0.000, 12:40:13.739
143, 3.13, 43.56, 7.19, 17.99, 0.000, 0.000, 0.000, 12:40:13.740
144, 17.34, 4.26, 9.67, -13.02, 0.000, 0.000, 0.000, 12:40:13.740
145, 12.93, -3.00, 9.95, 5.61, 0.000, 0.000, 0.000, 12:40:13.755
146, 1.48, 33.90, 8.41, 21.96, 0.000, 0.000, 0.000, 12:40:13.755
147, 10.84, 20.26, 8.18, -10.86, 0.000, 0.000, 0.000, 12:40:13.769
148, 15.30, -14.80, 10.35, -5.95, 0.000, 0.000, 0.000, 12:40:13.769
149, 0.69, 23.05, 9.82, 22.97, 0.000, 0.000, 0.000, 12:40:13.771
150, 7.19, 34.42, 8.04, 3.18, 0.000, 0.000, 0.000, 12:40:13.771
151, 11.93, -14.14, 6.17, -14.41, 0.000, 0.000, 0.000, 12:40:13.785
152, 4.73, 4.33, 8.99, 13.42, 0.000, 0.000, 0.000, 12:40:13.785
153, 1.66, 42.19, 7.08, 16.02, 0.000, 0.000, 0.000, 12:40:13.799
154, 15.50, 6.48, 8.49, -14.55, 0.000, 0.000, 0.000, 12:40:13.799
155, 7.22, -8.47, 7.26, 5.33, 0.000, 0.000, 0.000, 12:40:13.801
156, 3.86, 35.58, 11.67, 21.73, 0.000, 0.000, 0.000, 12:40:13.801
157, 10.33, 22.09, 7.69, -5.71, 0.000, 0.000, 0.000, 12:40:13.815
158, 11.10, -18.30, 6.11, -3.08, 0.000, 0.000, 0.000, 12:40:13.815
159, 3.15, 18.28, 12.04, 23.89, 0.000, 0.000, 0.000, 12:40:13.829
160, 5.59, 36.79, 12.44, 3.36, 0.000, 0.000, 0.000, 12:40:13.829
161, 15.37, -8.47, 7.73, -16.20, 0.000, 0.000, 0.000, 12:40:13.831
162, 4.17, 2.49, 9.94, 19.72, 0.000, 0.000, 0.000, 12:40:13.831
163, 2.07, 43.86, 12.22, 16.81, 0.000, 0.000, 0.000, 12:40:13.845
164, 13.43, 2.65, 1.82, -9.97, 0.000, 0.000, 0.000, 12:40:13.845
165, 5.80, -7.82, 6.60, 7.64, 0.000, 0.000, 0.000, 12:40:13.859
166, 5.33, 39.12, 10.53, 25.24, 0.000, 0.000, 0.000, 12:40:13.859
167, 10.26, 18.82, 7.93, -7.40, 0.000, 0.000, 0.000, 12:40:13.861
168, 11.12, -12.76, 5.26, -3.81, 0.000, 0.000, 0.000, 12:40:13.861
169, -0.89, 25.41, 9.81, 23.97, 0.000, 0.000, 0.000, 12:40:13.875
170, 5.48, 35.84, 9.13, 6.29, 0.000, 0.000, 0.000, 12:40:13.875
171, 15.93, -9.88, 8.67, -13.81, 0.000, 0.000, 0.000, 12:40:13.889
172, 4.74, 5.77, 6.25, 19.32, 0.000, 0.000, 0.000, 12:40:13.889
173, 0.18, 42.52, 9.81, 13.72, 0.000, 0.000, 0.000, 12:40:13.891
174, 13.33, 4.43, 5.27, -14.88, 0.000, 0.000, 0.000, 12:40:13.891
175, 9.35, -7.91, 8.76, 10.46, 0.000, 0.000, 0.000, 12:40:13.919
176, 1.45, 34.12, 12.86, 28.23, 0.000, 0.000, 0.000, 12:40:13.919
177, 13.78, 18.87, 11.87, -6.52, 0.000, 0.000, 0.000, 12:40:13.919
178, 15.40, -16.27, 7.88, -4.83, 0.000, 0.000, 0.000, 12:40:13.919
179, 2.66, 22.31, 10.11, 24.07, 0.000, 0.000, 0.000, 12:40:13.921
180, 9.11, 34.68, 13.65, 3.70, 0.000, 0.000, 0.000, 12:40:13.921
181, 14.13, -8.02, 5.57, -19.84, 0.000, 0.000, 0.000, 12:40:13.935
182, 1.71, 3.20, 5.64, 19.28, 0.000, 0.000, 0.000, 12:40:13.935
183, 1.50, 40.93, 10.47, 15.42, 0.000, 0.000, 0.000, 12:40:13.965
184, 12.68, 4.26, 8.87, -14.58, 0.000, 0.000, 0.000, 12:40:13.965
185, 8.52, -11.32, 15.27, 4.76, 0.000, 0.000, 0.000, 12:40:13.966
186, 0.98, 36.03, 11.51, 21.95, 0.000, 0.000, 0.000, 12:40:13.966
187, 14.17, 20.96, 8.30, -6.64, 0.000, 0.000, 0.000, 12:40:13.966
188, 12.63, -17.42, 8.09, -8.85, 0.000, 0.000, 0.000, 12:40:13.966
189, -1.77, 24.45, 10.30, 25.02, 0.000, 0.000, 0.000, 12:40:13.979
190, 7.68, 33.28, 9.68, 6.84, 0.000, 0.000, 0.000, 12:40:13.979
